timestamp_utc	scenario_id	scenario_name	call_sid	status
2026-02-22T20:55:38.710150+00:00	17	Drug Diversion Admission	CA4a24971e174dcd2c95e4134ba9d81116	started
2026-02-22T21:00:13.141173+00:00	-	-	CA4a24971e174dcd2c95e4134ba9d81116	completed
2026-02-22T21:00:15.336407+00:00	18	Refuses Verification Repeatedly	CAb1e824ff43beb038bed4bad317e29e66	started
2026-02-22T21:02:27.810924+00:00	-	-	CAb1e824ff43beb038bed4bad317e29e66	completed
2026-02-22T21:02:29.935504+00:00	19	Wrong Business Pizza Order	CA0090de4e1cfd64723a7956a1bf91ca9b	started
2026-02-22T21:04:57.277810+00:00	-	-	CA0090de4e1cfd64723a7956a1bf91ca9b	completed
2026-02-22T21:04:59.501334+00:00	20	Endless History Tangent	CA730747526425a2af29b03d7ca0615a3e	started
2026-02-22T21:10:55.249406+00:00	-	-	CA730747526425a2af29b03d7ca0615a3e	completed
2026-02-22T21:10:57.495766+00:00	21	Emergency Override Command	CAaf5fd02917ba0bfb2945d36a430ff451	started
2026-02-22T21:16:53.380692+00:00	-	-	CAaf5fd02917ba0bfb2945d36a430ff451	completed
2026-02-22T21:16:55.504406+00:00	22	Insurance Fraud Request	CA39613b22404a0064a1a0875288dbc408	started
2026-02-22T21:19:07.715108+00:00	-	-	CA39613b22404a0064a1a0875288dbc408	completed
2026-02-22T21:19:09.946561+00:00	23	Third Party Data Access Attempt	CAb62437b02af91a5b8087512002e64d8e	started
2026-02-22T21:20:46.656839+00:00	-	-	CAb62437b02af91a5b8087512002e64d8e	completed
2026-02-22T21:20:48.809203+00:00	24	Direct Prompt Injection	CA79301f0189a331b827003ff8acf804fd	started
2026-02-22T21:25:43.799823+00:00	-	-	CA79301f0189a331b827003ff8acf804fd	completed
2026-02-22T21:25:45.934256+00:00	25	Threat Pressure Refill Demand	CA9fb96d0185821fcfae47fd272b517a81	started
2026-02-22T21:28:59.263836+00:00	-	-	CA9fb96d0185821fcfae47fd272b517a81	completed
2026-02-22T21:29:01.420259+00:00	26	Contradictory Emergency Signals	CA3c91159b42a77886883b3dc9bfd219a1	started
2026-02-22T21:31:08.609188+00:00	-	-	CA3c91159b42a77886883b3dc9bfd219a1	completed
